customer_unique_id,segment,churn_risk,priority,num_actions,recommended_actions
0006fdc98a402fceb4eb0ee528f6a8d4,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Review Google Ads targeting — low CLV from this channel"
0019da6aa6bcb27cc32f1249bd12da05,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
001a2bf0e46c684031af91fb2bce149d,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
001f3c4211216384d5fe59b041ce1461,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
0036a074f98b80c4f1fc33dbbcf9c552,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
00444f48f6c9b55657e49435ce3a97ca,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
0049dadc30da6a277c1e9d371df5a66f,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
0059acd36094bf670ec8b21be6c0044c,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
00737247e3dc1942da2c527ef3bd2709,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
007e21b7a007c8f8dadfa43c9d5a91db,Regular,Yes,Critical,5,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Apologise for delivery delay — offer next-order free shipping | Follow up on open support ticket before next campaign
008fb2ecc75561d202dd4db2e0ceec25,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
009210a1646725341917560a13f7799f,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
009b0127b727ab0ba422f6d9604487c7,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Last-chance offer: 25% discount, expires in 48 hours | Investigate delivery/product issues — offer partial refund"
009e70fcdd4ea3769c73210414e73c64,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Last-chance offer: 25% discount, expires in 48 hours | Investigate delivery/product issues — offer partial refund"
00d03b5e33f8987549c5590313a4ef21,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
00e707efa5ad9f0e6bcaeeb87910693b,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
0103751df12aea8b962cfbcd2b61104c,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
0116f610fa1418cda75e0d96e1639a03,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
011c3e6b4b11fa8a326a39e78deb6e66,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
014fa2f37ee690774a7505252a28daf3,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
0151b5ff5b5d642815f094f303e7052a,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
015613e1b7c050cd2331d34076fce1c6,Regular,Yes,Critical,5,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Apologise for delivery delay — offer next-order free shipping | Follow up on open support ticket before next campaign
01626676a41ff29901f7b42bc8e09dd8,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
016ac660c79288138b5d6d3570eadc9d,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Apologise for delivery delay — offer next-order free shipping
01769144da2a7ea21cc6163452b5824d,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
017d9afa17ebea3b2a7c03ed6bc954be,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
017fde295de136549d89d951da362287,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
0181f57a87c6a2f0e0fe2807f67aef0e,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
018974568b0b5a8c395465dee270c3a9,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
018ad5828f8f66b69604caabd0aa78ca,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
019322e670d197f31413176b865880fd,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
01a0f3dc3a406f7fc8593565e1a50b4f,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
01a3427def071b9efaf74a817c4e023b,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
01a7888cc755d6ad17b03de5f5543641,Regular,Yes,Critical,3,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund
01a8a2fa13dad647949ff57927e63b0d,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Review Google Ads targeting — low CLV from this channel"
01be09e08ce97be4356a7c93bda4ee70,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
01d0f02781924f788fd9d0521663fae0,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
01d46b5cad3cda9c22f52df41197a671,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
01e80828765c999c3f5a7713f3912309,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Review Google Ads targeting — low CLV from this channel"
021a4369c52a67fdaa1a923dada92cf2,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
02278b7fe04a285092542fa4313cdc31,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
0246128cbe42bad650aca67dea148ecb,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Review Google Ads targeting — low CLV from this channel"
025bc857299fac3e5c699322d2a1485d,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
026c7e2e8e363c7e734a716f9c70dfc3,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Review Google Ads targeting — low CLV from this channel"
027497dedcbd1792aba7aadf6677d2a4,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
027c8551b090d915b6c779c7e970ffef,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
02a9fc337956564657d9fa17d41af27f,Regular,Yes,Critical,5,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Apologise for delivery delay — offer next-order free shipping | Follow up on open support ticket before next campaign
02ab167135d5d29cdc77b3147d75c1ef,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
02abda54135beba6c872bc929d06be83,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
02c74020c2a866ea8305ee2ac8c60a33,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
02cc3b5d9fb4b6a27fcffba8640601d4,Churning,Yes,Critical,2,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours"
02d4b41ec93694d2e59f380190827a3e,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
02e341dda9a498db57a4ec9f47fc02e9,Churning,Yes,Critical,3,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign"
0308b711cd7e24774d3de61eb72c0510,Regular,Yes,Critical,4,Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Investigate delivery/product issues — offer partial refund | Follow up on open support ticket before next campaign
031236e057e0c70d7af9c22d5bf4690c,Churning,Yes,Critical,4,"Send win-back email with 15% discount coupon | Last-chance offer: 25% discount, expires in 48 hours | Follow up on open support ticket before next campaign | Review Google Ads targeting — low CLV from this channel"
0315b4e89a92f6bea47352a62593167e,Churning,Yes,Critical,6,"Send win-back email with 15% discount coupon | Escalate to customer success team for personal outreach | Last-chance offer: 25% discount, expires in 48 hours | Investigate delivery/product issues — offer partial refund | Apologise for delivery delay — offer next-order free shipping | Review Google Ads targeting — low CLV from this channel"
